Inflight wifi service,Online boarding,Business Travel,Inflight entertainment,Loyal Customer,Checkin service,Flight Distance,Age,Class
2,2,1,2,1,3,2062,26,3
5,4,1,4,1,4,680,52,3
3,3,0,3,1,4,188,28,1
3,4,1,3,1,4,453,54,3
4,4,1,4,1,3,775,40,1
5,4,1,5,1,2,2727,79,3
2,2,0,3,1,4,1192,41,1
0,0,1,4,0,3,1506,24,3
5,5,1,5,1,2,680,49,1
2,2,0,4,1,4,488,40,1
3,3,0,5,1,3,802,59,1
2,2,1,2,1,2,3797,40,3
5,5,1,2,0,5,1075,21,3
4,4,1,2,1,4,2938,57,3
3,3,1,2,0,3,971,28,1
3,4,1,5,1,4,2744,25,3
4,4,1,5,1,2,1075,41,2
3,3,0,3,1,4,228,22,2
4,3,1,4,1,4,3982,49,3
2,2,0,2,1,2,404,29,1
2,2,0,4,1,4,991,48,1
3,3,0,2,1,4,351,9,2
3,4,1,4,1,5,1096,49,3
2,3,1,2,1,3,1514,49,3
2,2,1,4,0,3,302,30,1
4,0,0,3,1,4,187,42,1
2,2,0,3,1,4,1184,17,1
2,2,1,3,0,3,680,32,3
4,4,1,4,1,4,128,44,2
1,4,1,4,1,4,280,27,3
1,1,1,1,1,3,239,43,2
1,1,0,3,1,5,621,28,1
5,5,1,4,1,4,1440,46,3
2,4,1,4,1,1,574,37,3
1,1,0,4,1,3,626,25,1
3,3,1,1,0,5,1276,24,1
0,5,1,5,1,3,328,53,3
0,0,1,4,0,4,746,23,3
1,1,0,2,1,1,546,12,1
4,4,1,5,1,4,1735,33,3
1,1,1,1,1,4,224,40,1
0,4,1,3,1,5,2783,41,3
0,0,0,4,1,2,1009,10,1
4,4,1,2,0,5,404,42,1
1,1,1,1,1,4,1514,7,3
5,4,1,4,1,5,1090,52,3
4,4,1,3,0,1,562,15,1
4,4,1,3,0,3,202,24,1
1,4,1,4,1,3,585,52,3
4,5,0,1,1,3,451,65,1
3,3,0,2,1,5,991,28,1
0,0,1,5,1,3,1034,20,1
3,3,0,1,1,5,1608,34,1
4,4,0,5,1,5,678,31,1
5,4,1,4,1,4,2075,26,3
4,2,0,2,1,3,321,57,1
1,1,0,5,1,3,590,39,1
1,4,0,4,1,2,1156,52,1
3,3,1,3,0,4,253,26,1
5,4,1,4,1,5,2973,57,3
3,3,0,1,1,4,323,30,1
5,3,1,5,1,4,109,56,2
3,2,1,2,1,3,1620,8,3
5,4,1,4,1,3,3648,42,3
1,4,1,4,1,4,1635,57,3
3,5,1,3,1,3,1504,53,3
2,2,1,2,1,3,1464,44,3
3,4,1,3,1,2,1624,60,3
3,4,1,4,1,5,2021,59,3
3,2,1,5,1,4,2724,36,3
1,1,0,5,1,3,2239,69,1
2,2,1,2,1,1,1546,30,3
3,4,1,4,1,5,1337,28,3
3,3,1,2,1,3,197,39,3
5,5,1,5,1,5,1674,22,3
3,3,0,5,1,2,371,23,1
1,4,1,4,1,3,187,57,3
1,4,1,3,1,5,479,58,3
3,3,1,3,1,1,813,41,2
4,4,1,5,0,2,622,29,1
5,5,1,5,0,4,813,25,3
2,2,1,2,1,4,1068,44,1
3,4,1,3,1,4,3141,34,3
2,2,0,5,1,3,1009,62,1
3,5,1,4,1,5,3382,51,3
2,5,1,5,1,4,528,39,3
3,3,1,3,1,3,125,47,1
4,4,1,4,1,3,491,26,3
3,5,0,5,1,2,1979,59,1
2,2,1,2,1,3,957,16,1
4,4,1,4,1,4,1097,51,2
2,2,0,4,1,4,757,34,1
3,3,1,2,0,1,1068,27,1
2,2,1,2,1,2,209,63,1
1,5,1,5,1,3,1626,59,3
3,3,0,3,1,3,413,30,1
4,4,1,4,1,1,866,30,1
3,3,1,3,1,3,2239,54,1
3,4,1,4,1,4,3841,28,3
5,4,1,4,1,3,2595,17,3
2,3,1,2,1,3,2605,43,3
3,4,1,2,1,4,2952,49,3
1,1,0,5,1,3,1009,60,2
2,1,0,5,1,3,944,32,1
4,4,1,4,1,5,302,58,1
3,4,1,4,1,4,1743,51,3
1,2,1,4,1,1,448,40,3
1,0,1,4,0,3,992,22,1
5,3,1,5,1,2,628,54,2
1,5,0,5,1,4,280,58,1
4,5,0,4,1,5,1042,65,3
2,5,1,5,1,3,4000,48,3
1,4,1,1,1,3,2771,60,3
0,0,1,3,0,1,337,22,1
3,4,1,4,1,5,1874,26,3
3,3,1,2,0,2,738,34,1
2,5,1,4,1,3,1127,26,3
3,4,1,4,1,2,1009,49,2
4,4,0,1,1,2,546,12,1
1,1,1,5,0,5,748,36,3
3,4,0,3,1,5,227,54,1
1,1,1,3,0,3,707,38,1
3,4,1,4,1,4,2235,53,3
1,3,1,2,1,5,1726,48,3
1,3,0,4,1,1,684,54,2
4,4,1,4,1,4,192,43,1
1,1,0,2,1,2,442,12,1
4,4,0,4,1,4,802,10,1
1,4,1,5,1,3,1884,39,3
3,3,1,3,1,2,308,72,1
1,1,0,2,1,5,259,54,1
2,3,1,2,1,1,1990,44,3
3,4,0,4,1,5,920,49,1
3,3,1,3,1,2,3296,56,3
2,3,0,3,1,5,655,30,1
3,2,1,2,0,4,2565,36,3
4,4,1,2,0,4,129,38,1
3,3,0,3,1,3,920,24,1
2,4,1,4,1,3,631,48,3
2,4,1,4,1,5,2484,54,3
2,3,1,2,1,2,2129,54,3
1,1,0,1,1,3,1096,12,1
5,5,1,4,1,4,2139,46,3
2,4,0,5,1,4,550,70,3
5,4,1,4,1,3,224,64,3
4,4,1,4,1,4,2288,9,3
4,4,1,4,1,4,115,63,2
4,4,1,4,0,3,1041,18,1
1,2,0,2,1,4,2556,10,1
2,2,1,1,0,3,1134,27,3
4,4,1,5,0,5,304,25,3
1,1,1,1,1,1,2556,51,1
1,1,0,4,1,4,312,36,1
3,3,1,3,1,4,431,71,3
3,5,0,1,1,5,311,35,1
2,4,1,4,1,4,2077,40,3
